Title,Director,Year
A Mother's Story,John D. Lazatin,2012
My Cactus Heart,Enrico Santos,2012
Pintakasi,Lee Meily,2012
ÜnOfficially Yours,Cathy Garcia-Molina,2012
Hitman,Cesar Montano,2012
Corazon: Ang Unang Aswang,Richard Somes,2012
My Kontrabida Girl,Jade Castro,2012
The Witness,Muhammad Yusuf,2012
Moron 5 and the Crying Lady,Wenn V. Deramas,2012
Busong,Auraeus Solito,2012
The Mommy Returns,Joel Lamangan,2012
Every Breath U Take,Mae Czarina Cruz,2012
Born To Love You,Jerome Pabocan,2012
Boy Pick-Up: The Movie,Dominic Zapata,2012
Kimmy Dora and The Temple of Kiyeme,Joyce Bernal,2012
The Healing,Chito Rono,2012
Posas,Lawrence Fajardo,2012
Just One Summer,Mac Alejandre,2012
The Reunion,Frasco Mortiz,2012
Mga Mumunting Lihim,Jose Javier Reyes,2012
Guni-Guni,Tara Illenburger,2012
Amorosa,Topel Lee,2012
I Do Bidoo Bidoo: Heto nAPO Sila!,Chris Martinez,2012
Captive,Brillante Mendoza,2012
Bwakaw,Jun Lana,2012
Ang Nawawala,Marie Jamora,2012
The Mistress,Olivia Lamasan,2012
Graceland,Ron Morales,2012
Pridyider,Rico Ilarde,2012
Biktima,R.D. Alba,2012
Of All the Things,Joyce Bernal,2012
Santa Niña,Emmanuel Palo,2012
Give Up Tomorrow,Michael Collins,2012
This Guy's in Love with U Mare!,Wenn V. Deramas,2012
Tiktik: The Aswang Chronicles,Erik Matti,2012
A Secret Affair,Nuel Naval,2012
Suddenly It's Magic,Rory Quintos,2012
Six Degrees of Separation from Lilia Cuntapay,Antoinette Jadaone,2012
"Madaling Araw, Mahabang Gabi",Dante Nico Garcia,2012
24/7 in Love,"John Lazatin, Mae Cruz, Frasco Mortiz, Dado Lumibao",2012
Rigodon,Erik Matti,2012
D' Kilabots Pogi Brothers Weh?!,Soxy Topacio,2012
Supremo,Richard Somes,2012
Boundary,Benito Bautista,2012
Flames of Love,Gigi Alfonso,2012
MNL 143,Emerson Reyes,2012
"Si Agimat, Si Enteng, at Si Ako",Tony Reyes,2012
El Presidente,Mark Meily,2012
One More Try,Ruel S. Bayani,2012
"Shake, Rattle & Roll 14",Chito Rono,2012
Sisterakas,Wenn V. Deramas,2012
Sosy Problems,Andoy Ranay,2012
The Strangers,Lawrence Fajardo,2012
Thy Womb,Brillante Mendoza,2012
