Title,Director,Year
Mang Kepweng Returns,GB Sampedro,2017
Extra Service,Chris Martinez,2017
Darkroom,Pedring A. Lopez,2017
Ilawod,Dan Villegas,2017
Foolish Love,Joel Lamangan,2017
Across the Crescent Moon,Baby Nebrida,2017
Sakaling Hindi Makarating *(2017 commercial release),Ice Idanan,2017
Swipe,Ed Lejano,2017
Moonlight Over Baler,Gil Portes,2017
"I'm Drunk, I Love You",JP Habac,2017
My Ex and Whys,Cathy Garcia Molina,2017
Tatlong Bibe,Joven Tan,2017
Baka Bukas*(2017 commercial release),Samantha Lee,2017
Pwera Usog,Jason Paul Laxamana,2017
Kristo,HF Yambao,2017
Beyond the Block,Ricardo Carranza,2017
Ladyfish,Jason Orfalas,2017
Bhoy Intsik,Joel Lamangan,2017
Tu Pug Imatuy (The Right To Kill),Arnel Barbarona,2017
2 Cool 2 Be 4gotten*(2017 commercial release),Peterson Vargas,2017
Higanti,Rommel Ricafort,2017
Northern Lights: A Journey to Love,Dondon Santos,2017
Hiwaga: Ang Paglalakbay sa Liwanag ng Buhay,Sir Rca,2017
Can't Help Falling in Love,Mae Cruz-Alviar,2017
1st Sem *(2017 commercial release),"Dexter Hemedez, Allan Ibanez",2017
Luck at First Sight,Dan Villegas,2017
Bliss,Jerrold Tarog,2017
Our Mighty Yaya,Jose Javier Reyes,2017
Dear Other Self,Veronica Velasco,2017
Ang Araw sa Likod Mo,Dominic Nuesa,2017
Can We Still Be Friends?,Prime Cruz,2017
Ang Pagsanib kay Leah Dela Cruz,Katski Flores,2017
Bloody Crayons,Topel Lee,2017
Baklad,Topel Lee,2017
High Tide,Tara Illenberger,2017
Instalado,Jason Paul Laxamana,2017
Kamunggai,"Vic Acedillo, Jr.",2017
Sinandomeng,Byron Bryant,2017
What Home Feels Like,Joseph Abello,2017
Kita Kita,Sigrid Bernardo,2017
Finally Found Someone,Theodore Boborol,2017
Baconaua,Joseph Israel Laban,2017
Bagahe,Zig Dulay,2017
Ang Guro Kong 'Di Marunong Magbasa,Perry Escaño,2017
Kiko Boksingero,Thop Nazareno,2017
Nabubulok,Sonny Calvento,2017
Ang Pamilyang Hindi Lumuluha,Mes de Guzman,2017
Requited,Nerissa Picadizo,2017
Respeto,Treb Monteras II,2017
Sa Gabing Nanahimik ang mga Kuliglig,Iar Arondaing,2017
Double Barrel,Toto Natividad,2017
100 Tula Para Kay Stella,Jason Paul Laxamana,2017
AWOL,Enzo Williams,2017
Bar Boys,Kip Oebanda,2017
Birdshot *(2017 commercial release),Mikhail Red,2017
Hamog *(2017 commercial release),Ralston Jover,2017
Ang Manananggal sa Unit 23B*(2017 commercial release),Prime Cruz,2017
Paglipay *(2017 commercial release),Zig Dulay,2017
Patay na si Hesus*(2017 commercial release),Victor Villanueva,2017
Pauwi Na*(2017 commercial release),Paolo Villaluna,2017
Salvage *(2017 commercial release),Sherad Anthony Sanchez,2017
Star na si Van Damme Stallone *(2017 commercial release),Randolph Longjas,2017
Triptiko,Miguel Franco Michelena,2017
Woke Up Like This,Joel Ferrer,2017
Love You to the Stars and Back,Antoinette Jadaone,2017
FanGirl FanBoy,Barry Gonzalez,2017
DAD: Durugin ang Droga,Dinkydoo Clarion,2017
Loving in Tandem,Giselle Andres,2017
I Found My Heart in Santa Fe,Bona Fajardo,2017
Amalanhig: The Vampire Chronicle,Francis Posadas,2017
Last Night,Joyce Bernal,2017
You with Me,Rommel Ricafort,2017
The Debutantes,Prime Cruz,2017
New Generation Heroes,Anthony Hernandez,2017
Balatkayo,Neal Tan,2017
Seven Sundays,Cathy Garcia-Molina,2017
Riding in Tandem,Toto Natividad,2017
Bes and the Beshies,Joel Lamangan,2017
Si Tokhang at ang Tropang Buang,Roland Sanchez,2017
Balangiga: Howling Wilderness,Khavn,2017
The Chanters,James Robin Mayo,2017
Dapol Tan Payawar na Tayug 1931,Christopher Gozum,2017
Dormitoryo,Emerson Reyes,2017
Kulay Lila ang Gabi na Binudburan pa ng mga Bituin,Jobin Ballesteros,2017
Medusae,Pam Miras,2017
Neomanila,Mikhail Red,2017
The Write Moment,Dominic Lim,2017
The Barker,Dennis Padilla,2017
The Ghost Bride,Chito S. Roño,2017
Spirit of the Glass 2: The Haunted,Jose Javier Reyes,2017
#12,Dondon Santos,2017
This Time I’ll Be Sweeter,Joel Lamangan,2017
Guerrero,Carlo Ortega Cuevas,2017
Changing Partners,Dan Villegas,2017
Si Chedeng at si Apple,"Fatrick Tabada, Rae Red",2017
Historiographika Errata,Richard Somes,2017
Nay,Kip Oebanda,2017
Nervous Translation,Shireen Seno,2017
Paki,Giancarlo Abrahan,2017
Throwback Today,Joseph Teoxon,2017
Fallback,Jason Paul Laxamana,2017
Trip Ubusan: The Lolas vs. Zombies,Mark A. Reyes,2017
"Barbi, D' Wonder Beki",Tony Y. Reyes,2017
Unexpectedly Yours,Cathy Garcia-Molina,2017
Kamandag ng Droga,Carlo J. Caparas,2017
Smaller and Smaller Circles,Raya Martin,2017
All of You,Dan Villegas,2017
Deadma Walking,Julius Alfonso,2017
Gandarrapiddo: The Revenger Squad,Joyce Bernal,2017
Haunted Forest,Ian Loreños,2017
Ang Larawan,Loy Arcenas,2017
Meant to Beh,Chris Martinez,2017
Ang Panday,Coco Martin,2017
Siargao,Paul Soriano,2017
