Title,Director,Year,Plot,Genre
Menor de Edad,Joel Lamangan,2013,"Fifteen-year-old Jen doesn't have a very happy life - bullied by classmates, dumped by her boyfriend and picked on by her mom. Seeking comfort in a violent gang of girls led by her cousin, and in the arms of her Filipino teacher Ariel, things turn sour as he rejects her advances, and soon both are caught in lies that will change their lives forever.",Drama
Seduction,Peque Gallaga,2013,A fireman is in love to his landlady but is seduced by the girl she saves from a fire. He falls trap to the seductress and one day call it quits but the seductress is out for revenge. A conflagration ensues.::anonymous,Drama
"I Love You, Pare Ko1",Neal Tan,2013,,
Gabriel (Ito ang Kuwento Ko)1,Ronald M. Rafer,2013,,Drama
A Moment in Time,Emmanuel Quindo Palo,2013,A struggling artist travels to Amsterdam to try and win back the heart of the woman he loves.,"Drama, Romance"
Gapang1,Don Bautista,2013,,"Animation, Comedy, Drama, Family, Sci-Fi"
Alfredo S. Lim: The Untold Story,Cesar Montano,2013,Alfredo S. Lim has just been awarded as one of Manila's ten most outstanding policemen. The celebration has abruptly ended when one of his co-honorees is killed while trying to stop a robbery. Lim tracks down these criminals which ruffles the feathers of powerful people. His work takes a personal toll on his marriage and also puts his family in danger.::anonymous,"Action, Biography, Drama"
The Fighting Chefs,Ronnie Ricketts,2013,Two warring chefs and their restaurants are threatened by the 3-month deadline imposed to them by Don Manolo to vacate their place for it will be sold to a condominium developer.::cinesum,"Action, Comedy, Romance"
Pagari (Mohammad-Abdulahh)1,Robby Tarroza,2013,,"Crime, Drama"
It Takes a Man and a Woman,Cathy Garcia-Molina,2013,"The film follows the life of Miggy (John Lloyd Cruz) and Laida (Sarah Geronimo) after their break-up which occurred after the events in the second film. Miggy, is now in a relationship with Belle (Isabelle Daza) while Laida is now a fiercer woman after living in the United States. They try to co-exist in the same company while Laida tries to oppose Miggy's business decisions through a series of events which made them realize the real definition of true love.::Wikipedia","Comedy, Drama, Romance"
Bad Romance1,Ian Del Carmen,2013,"Andrea is a receptionist and loves soap opera star Sam Lloyd Pascual. When Sam Lloyd Pascual checks in to the resort hotel she works in, he invites her for a romantic dinner. She now has a chance to make fantasy love a reality but this turns out tragically.::cinesum","Drama, Romance, Thriller"
Coming Soon,Martin Rey Aviles,2013,"The film revolves around the misadventures of six friends who come from different status of life. Monica, Darwin, Sikyu, Sab, Dana and Nacho decided to live their lives young, wild and free despite their problems.",Comedy
Bayang Magiliw1,Gil M. Portes,2013,,Drama
The Bride and the Lover,Joel Lamangan,2013,"In the story, Vivian (Lovi Poe) is sole heir to a business empire. Sheila (Jennylyn Mercado) is Vivian's friend who is a lifestyle magazine editor. Meanwhile, Philip (Paulo Avelino) is the hottest bachelor in town engaged to be wed to Vivian. However, a scandalous revelation tears the three characters' worlds apart. Time passes by and the supposed bride becomes the lover and the supposed lover is now the bride. What's more, the former bride (Vivian) becomes a fearfully revengeful lover who is relentless in her quest to get her ex-fiancé back. Crisp dialogue and fierce confrontation scenes make The Bride and The Lover a highly-charged erotic-drama worth watching. The movie tries to answer tough questions such as: Will you put friendship at stake for the love of a man? Is friendship a strong foundation for serious relationships?::Anonymous","Comedy, Drama"
Leona Calderon1,Jowee Morel,2013,"Leona Calderon is a retiring altruistic music lover earning her living cleaning establishments and private homes. Having a fun loving nature she is fancied by her landlord who dreams of dancing with her to her favorite tune. Another admirer is a homeless man who gets endears by her jolly disposition and not by her loose pennies for a can of lager. She befriends an isolated elderly English lady, a migrant worker with no visa and a charitable middle age woman. As a breadwinner she looks forward to her much awaited retirement which is now doomed following a diagnoses of cancer. The island where she comes from where she plans to spend her life with her family becomes just a dream. She now faces a dilemma between losing her hard earned savings to medical expenses or losing the time with her family if she spends her retirement in a country where her treatment is free. Leona's wit and fun nature will make you smile, laugh and cry. What happens to this happy lady in this funny world?::Anonymous","Comedy, Drama, Romance"
Bromance: My Brother's Romance1,Wenn V. Deramas,2013,"Brando and Brandy are twins, one is straight and the other is gay, and both incessantly argue with each other. When Brandy is hit by an ambulance and goes into a coma, Brando reluctantly pretends to be Brandy to pay his debts and salvage his gay brother's business.::cinesum",Comedy
Juana C. the Movie,Jade Castro,2013,,Comedy
