Title,Director,Year
Tragic Theater,Tikoy Aguiluz,2015
Edsa Woolworth *(2015 commercial release),John D-Lazatin,2015
#EwanKoSau Saranghaeyo,"Roman Perez, Jr.",2015
Halik sa Hangin,Manny Palo,2015
That Thing Called Tadhana *(2015 commercial release),Antoinette Jadaone,2015
Liwanag sa Dilim,Richard Somes,2015
Bahay Ampunan,Neal Tan,2015
Crazy Beautiful You,Mae Czarina Cruz-Alviar,2015
RedBook,Rudy Diaz Saron,2015
Balut Country,Paul Sta. Ana,2015
Bambanti,Zig Dulay,2015
Imbisibol,Lawrence Fajardo,2015
Ninja Party,Jim Libiran,2015
Swap,Remton Zuasola,2015
You're My Boss,Antoinette Jadaone,2015
Kid Kulafu,Paul Soriano,2015
Your Place or Mine?,Joel Lamangan,2015
Alimuom ng Kahapon,Rosswil Hilario,2015
Para sa Hopeless Romantic,Andoy Ranay,2015
Binhi: The Seed,Pedring Lopez,2015
You're Still the One,Chris Martinez,2015
Espesyal Kopol,Neal Tan,2015
Stars Versus Me,Joven Tan,2015
Just the Way You Are,Theodore Boborol,2015
Waves,Don Gerardo Frasco,2015
An Kubo sa Kawayanan,Alvin Yapan,2015
Sino nga ba si Pangkoy Ong?,Jonah Lim,2015
I Love You. Thank You.,Charliebebs Gohetia,2015
Maskara,Genesis Nolasco,2015
Piring,Carlos Morales,2015
Ang Kwento Nating Dalawa,Nestor Abrogena,2015
Filemon Mamon,Will Fredo,2015
Of Sinners and Saints,Ruben Maria Soriquez,2015
The Breakup Playlist,Dan Villegas,2015
Chain Mail,"Adolfo Alix, Jr.",2015
Mandirigma,Arlyn Dela Cruz,2015
The Love Affair,Nuel Naval,2015
Mula sa Kung Ano ang Noon *(2015 commercial release),Lav Diaz,2015
Homeless,Neal Tan,2015
Ex with Benefits,Gino M. Santos,2015
Heneral Luna,Jerrold Tarog,2015
Walang Take Two,Carlo Ortega Cuevas,2015
Silong,"Jeffrey Hidalgo, Roy Sevilla Ho",2015
Taklub,Brillante Mendoza,2015
The PBA: A Nation’s Passion,Adrian Belic,2015
Resureksyon,Borgy Torre,2015
Etiquette for Mistresses,Chito Roño,2015
Felix Manalo,Joel Lamangan,2015
The Prenup,Jun Lana,2015
Apocalypse Child,Mario Cornejo,2015
Gayuma,Cesar Hernando,2015
Iisa,Chuck Gutierrez,2015
Kapatiran,Pepe Diokno,2015
Matangtubig,Jet Leyco,2015
Patintero: Ang Alamat ni Meng Patalo,Mihk Vergara,2015
Sleepless,Prime Cruz,2015
Water Lemon,Lemuel Lorca,2015
Everyday I Love You,Mae Czarina Cruz-Alviar,2015
Flotsam,Jay Abello,2015
Old Skool,Cia Hermosa-Jorge,2015
Baka Siguro Yata,Joel Ferrer,2015
Bukod Kang Pinagpala,Sheron Dayoc,2015
The Comeback,Ivan Andrew Payawal,2015
Dahling Nick,Sari Dalena,2015
Dayung Asu,Bor Ocampo,2015
Hamog,Ralston Jover,2015
Manang Biring,Carl Joseph Papa,2015
Miss Bulalacao,Ara Chawdhury,2015
Mga Rebeldeng Walang Kaso,Raymond Red,2015
Maria Labo,Roi Vinzon,2015
No Boyfriend Since Birth,Jose Javier Reyes,2015
Wang Fam,Wenn Deramas,2015
A Second Chance,Cathy Garcia-Molina,2015
Child Haus,Louie Ignacio,2015
Isang Hakbang,Mike Magat,2015
Angela Markado,Carlo J. Caparas,2015
"One Day, Isang Araw, I Saw Nakakita",Dinky Doo,2015
Manila's Finest,William Mayo,2015
ARI: My Life with a King,Carlo Enciso Catu,2015
Tandem,King Palisoc,2015
Toto,John Paul Su,2015
Turo-Turo,Ray An Dulay,2015
All You Need Is Pag-Ibig,Antoinette Jadaone,2015
Beauty and the Bestie,Wenn Deramas,2015
"Buy Now, Die Later",Randolph Longjas,2015
Haunted Mansion,Jun Lana,2015
Honor Thy Father,Erik Matti,2015
My Bebe Love: #KiligPaMore,Jose Javier Reyes,2015
Nilalang,Pedring Lopez,2015
#Walang Forever,Dan Villegas,2015
