Title,Director,Year
"I Love You, Hater",Giselle Andres,2018
Jacqueline Comes Home (The Chiong Story),Ysabelle Peach Caparas,2018
Kusina Kings,Victor Villanueva,2018
BuyBust,Erik Matti,2018
Harry & Patty,Julius Alfonso,2018
Distance,Perci Intalan,2018
Kung Paano Hinihintay ang Dapithapon,Carlo Enciso Catu,2018
Kuya Wes,James Robin Mayo,2018
Liway,Kip Oebanda,2018
The Lookout,Afi Africa,2018
Mamang,Denise O'Hara,2018
ML,"Benedict Mique, Jr.",2018
Musmos na Sumibol sa Gubat ng Digma,Iar Arondaing,2018
Pan de Salawal,Che Espiritu,2018
School Service,Louie Ignacio,2018
Dito Lang Ako,Roderick Lindayag,2018
Ang Babaeng Allergic sa Wifi,Jun Lana,2018
Bakwit Boys,Jason Paul Laxamana,2018
The Day After Valentine's,Jason Paul Laxamana,2018
Pinay Beauty,Jay Abello,2018
Signal Rock,Chito Roño,2018
Unli Life,Miko Livelo,2018
We Will Not Die Tonight,Richard Somes,2018
The Lease,Paolo Bertola,2018
Miss Granny,Joyce Bernal,2018
The Hows of Us,Cathy Garcia-Molina,2018
Goyo: Ang Batang Heneral,Jerrold Tarog,2018
Petmalu,Joven Tan,2018
The Hopeless Romantic,Topel Lee,2018
Wander Bra,Joven Tan,2018
1957,Hubert Tibi,2018
Alimuom,Keith Sicat,2018
Mga Anak ng Kamote,Carlo Enciso Catu,2018
Kauyagan (Way of Life),Julienne Ilagan,2018
Sol Searching,Roman Perez Jr.,2018
Tanabata’s Wife,"Charlson Ong, Lito Casaje",2018
Abay Babes,Don Cuaresma,2018
Nakalimutan Ko Nang Kalimutan Ka,Fifth Solomon,2018
Hapi Ang Buhay: The Musical,Carlo Ortega Cuevas,2018
Exes Baggage,Dan Villegas,2018
The Trigonal,Vincent Soberano,2018
Para sa Broken Hearted,Digo Ricio,2018
Tres,"Dondon Santos, Richard Somes",2018
Wild and Free,Connie S.A Macatuno,2018
Asuang,Raynier Brizuela,2018
Bagyong Bheverlynn,Charliebebs Gohetia,2018
Double Twisting Double Back,Joseph Abello,2018
Hospicio,Bobby Bonifacio,2018
Mamu; and A Mother Too,Rod Singh,2018
Never Tear Us Apart,Whammy Alcazaren,2018
Paglisan,Carl Joseph Papa,2018
Pang MMK,John Lapus,2018
A Short History of a Few Bad Things,Keith Deligero,2018
First Love,Paul Soriano,2018
Billie & Emma,Samantha Lee,2018
Dog Days,Timmy Harn,2018
Hintayan ng Langit,Dan Villegas,2018
Masla a Papanok,Gutierrez Mangansakan II,2018
Come on Irene,Keisuke Yoshida,2018
Oda sa Wala,Dwein Baltazar,2018
To Love Some Buddy,Jason Paul Laxamana,2018
All Souls Night,"Aloy Adlawan, Jules Katanyag",2018
Class of 2018,Charliebebs Gohetia,2018
Kung Paano Siya Nawala,Joel Ruiz,2018
Through Night and Day,Veronica Velasco,2018
Glorious,Connie Macatuno,2018
Ma,Kenneth Dagatan,2018
Aria,Carlo Enciso Catu,2018
Recipe for Love,Jose Javier Reyes,2018
Ang Pangarap Kong Holdap,Marius Talampas,2018
Three Words to Forever,Cathy Garcia-Molina,2018
Kahit Ayaw Mo Na,Bona Fajardo,2018
Everybody Loves Baby Wendy,Wenn V. Deramas,2018
Aurora,Yam Laranas,2018
"Fantastica: The Princesses, The Prince and The Perya",Barry Gonzalez,2018
The Girl in the Orange Dress,Jay Abello,2018
Jack Em Popoy: The Puliscredibles,Michael Tuviera,2018
"Mary, Marry Me",RC Delos Reyes,2018
One Great Love,Eric Quizon,2018
Otlum,Joven Tan,2018
Rainbow's Sunset,Joel Lamangan,2018
