Title,Director,Year
Mama's Girl,Connie Macatuno,2018
Ang Dalawang Mrs. Reyes,Jun Lana,2018
Mr. & Mrs. Cruz,Sigrid Andrea Bernardo,2018
Changing Partners *(2018 commercial release),Dan Villegas,2018
Meet Me in St. Gallen,Irene Villamor,2018
My Fairy Tail Love Story,Perci Intalan,2018
Sin Island,Gino M. Santos,2018
The Significant Other,Joel Lamangan,2018
Amnesia Love,Albert Langitan,2018
Magbuwag ta Kay... *(2018 commercial re-release),"Reuben Joseph Aquino, Janice Perez",2018
Ang Pambansang Third Wheel,Ivan Payawal,2018
Abomination *(2018 commercial release),Yam Laranas,2018
Bomba *(2018 commercial release),Ralston Jover,2018
El Peste,Richard Somes,2018
Melodrama/Random/Melbourne!,Matthew Victor Pastor,2018
Tale of the Lost Boys *(2018 commercial release),Joselito Altarejos,2018
My Perfect You,Cathy Garcia-Molina,2018
Simplicity,"David Hulbert, Kazuhiko Parungao",2018
Never Not Love You,Antoinette Jadaone,2018
Almost a Love Story,Louie Ignacio,2018
DOTGA: Da One That Ghost Away,Tony Y. Reyes,2018
Throwback Today *(2018 commercial release),Joseph Teoxon,2018
Single/Single: Love Is Not Enough,"Veronica Velasco, Pablo Biglang-Awa, Jr.",2018
My 2 Mommies,Eric Quizon,2018
Squad Goals: #FBois,Mark Meily,2018
Delia and Sammy,Therese Cayaba,2018
The Eternity Between Seconds,Alec Figuracion,2018
Excuse Me Po,Ronald Batallones,2018
Gusto Kita with All My Hypothalamus,Dwein Baltazar,2018
Hitboy,Bor Ocampo,2018
Mata Tapang,Rod Marmol,2018
Mga Mister ni Rosario,Alpha Habon,2018
Poon,Roni Benaid,2018
Kasal,Ruel Bayani,2018
Citizen Jake,Mike de Leon,2018
So Connected,Jason Paul Laxamana,2018
Ang Misyon: A Marawi Siege Story,Caesar Soriano,2018
Ang Panahon ng Halimaw,Lav Diaz,2018
Sid & Aya: Not a Love Story,Irene Villamor,2018
Cry No Fear,Richard Somes,2018
The Write Moment *(2018 commercial release),Dominic Lim,2018
Walwal,Jose Javier Reyes,2018
The Maid in London,Danni Ugali,2018
